trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2671,False,"{'a': 0.75, 'e': 0.06909061390052769}",20,6,22.152711582371296,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2672,False,"{'a': 0.75, 'e': 0.06902152328662717}",25,14,7.404893962348469,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
2673,False,"{'a': 0.75, 'e': 0.06895250176334053}",20,12,15.835973558880024,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2674,False,"{'a': 0.75, 'e': 0.06888354926157719}",25,0,23.048308223794308,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
2675,False,"{'a': 0.75, 'e': 0.06881466571231562}",20,7,20.913044293551387,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2676,False,"{'a': 0.75, 'e': 0.0687458510466033}",30,4,32.27903865041719,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
2677,False,"{'a': 0.75, 'e': 0.0686771051955567}",30,13,24.46430799082012,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2678,False,"{'a': 0.75, 'e': 0.06860842809036113}",25,10,16.29191988622027,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2679,False,"{'a': 0.75, 'e': 0.06853981966227078}",25,1,25.03747285671529,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
2680,False,"{'a': 0.75, 'e': 0.0684712798426085}",25,10,7.443392766835632,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
2681,False,"{'a': 0.75, 'e': 0.0684028085627659}",20,2,27.627001806734842,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2682,False,"{'a': 0.75, 'e': 0.06833440575420313}",20,13,12.98374518391877,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2683,False,"{'a': 0.75, 'e': 0.06826607134844893}",25,0,37.44761689255513,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2684,False,"{'a': 0.75, 'e': 0.06819780527710048}",25,13,18.935450275097942,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2685,False,"{'a': 0.75, 'e': 0.06812960747182338}",20,10,19.884363899209827,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2686,False,"{'a': 0.75, 'e': 0.06806147786435156}",25,7,18.271355341984115,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
2687,False,"{'a': 0.75, 'e': 0.0679934163864872}",20,9,19.648183128161595,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2688,False,"{'a': 0.75, 'e': 0.06792542297010072}",25,12,7.853258357996484,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
2689,False,"{'a': 0.75, 'e': 0.06785749754713062}",20,8,-21.258977126831752,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
2690,False,"{'a': 0.75, 'e': 0.06778964004958349}",25,0,3.764204341451884,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
2691,False,"{'a': 0.75, 'e': 0.0677218504095339}",30,15,31.269528817181907,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2692,False,"{'a': 0.75, 'e': 0.06765412855912437}",30,9,32.303710847691406,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
2693,False,"{'a': 0.75, 'e': 0.06758647443056524}",20,13,0.6596853353492773,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
2694,False,"{'a': 0.75, 'e': 0.06751888795613468}",25,8,29.76078427580925,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2695,False,"{'a': 0.75, 'e': 0.06745136906817854}",25,11,17.893720851760143,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2696,False,"{'a': 0.75, 'e': 0.06738391769911037}",25,13,25.14878453572461,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2697,False,"{'a': 0.75, 'e': 0.06731653378141125}",25,13,19.19654433361744,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2698,False,"{'a': 0.75, 'e': 0.06724921724762985}",25,11,17.798868677459048,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2699,False,"{'a': 0.75, 'e': 0.06718196803038222}",25,10,21.921140947099612,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
2700,False,"{'a': 0.75, 'e': 0.06711478606235183}",30,13,16.6464273924063,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
